,mean_value,CellType,treatment,hallmark
349,9.375173,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
350,9.462179,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
351,9.547154,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
352,9.371665,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
353,9.356531,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
354,9.432312,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
355,9.510561,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
356,9.442103,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
357,9.146163,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
358,9.532367,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
359,9.298031,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
360,9.295436,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
361,9.248289,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
362,9.489445,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
363,9.228743,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
364,9.434553,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
365,9.342971,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
366,9.091124,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
367,9.392364,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
368,9.452536,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
369,9.530118,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
370,9.246302,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
371,9.423214,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
372,9.115436,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
373,9.308044,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
374,9.329259,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
375,9.099048,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
376,9.2518635,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
377,9.250412,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
378,9.299354,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
379,9.250126,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
380,9.432794,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
381,9.443706,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
382,9.250322,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
383,9.216792,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
384,9.626337,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
385,9.222477,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
386,9.368632,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
387,9.320842,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
388,9.335763,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
389,9.316176,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
390,9.649726,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
